model_id,auc,logloss,mean_per_class_error,rmse,mse
GLM_grid_1_AutoML_20190426_094030_model_1,0.7037050422028931,0.4259087150448904,0.4668125167719976,0.36364719295443865,0.1322392809436427
GBM_grid_1_AutoML_20190426_094030_model_2,0.7023853546126044,0.4358391107710475,0.4707839671679109,0.3684145146839566,0.13572925462981528
GBM_grid_1_AutoML_20190426_094030_model_35,0.6975499625853171,0.4477504937955895,0.4665286946634226,0.37399894065884265,0.13987520761393651
GBM_grid_1_AutoML_20190426_094030_model_36,0.695078714959016,0.4397965725746516,0.4673628742104656,0.3701706975251877,0.13702634530628402
GBM_grid_1_AutoML_20190426_094030_model_12,0.6950421452979477,0.4433723606535256,0.4676179384516041,0.3717870742101653,0.13822562854975493
GBM_grid_1_AutoML_20190426_094030_model_23,0.6939686333277728,0.4440055938619161,0.4703488836908541,0.3721144546918855,0.13846916739063933
GBM_grid_1_AutoML_20190426_094030_model_3,0.6934600077458141,0.4408327116380891,0.4744606093498242,0.37060330897918137,0.13734681262631854
GBM_grid_1_AutoML_20190426_094030_model_15,0.690961780524285,0.4398535576556568,0.4728974669781016,0.3701521893443398,0.137012643276408
GBM_grid_1_AutoML_20190426_094030_model_7,0.6899060266160275,0.4351303266441995,0.4692883977701091,0.3680595384220194,0.13546782382342998
GBM_grid_1_AutoML_20190426_094030_model_43,0.6891405516706747,0.4310505308936297,0.4714470133600413,0.3659355663942451,0.133908838752277
GBM_grid_1_AutoML_20190426_094030_model_37,0.6849023905836645,0.4659389361557157,0.4750637970909977,0.3814537190871736,0.1455069398054364
GBM_grid_1_AutoML_20190426_094030_model_17,0.6829508341052926,0.4345674287627883,0.4753873631724341,0.36712700431493134,0.1347822372972556
GBM_grid_1_AutoML_20190426_094030_model_29,0.6814190868691125,0.43483458925392815,0.4778101713761754,0.3675491347875551,0.13509236648308035
XRT_1_AutoML_20190426_094030,0.6802409568706845,0.4380732909006696,0.4692184820801043,0.3681852204474184,0.13556035655591406
GBM_grid_1_AutoML_20190426_094030_model_13,0.6794202390360627,0.4407984421146596,0.4769418621548158,0.3708640354049185,0.13754013275682067
GBM_grid_1_AutoML_20190426_094030_model_18,0.6791870839853414,0.4392618430138187,0.4814236835246707,0.370061160051979,0.1369452621790164
DRF_1_AutoML_20190426_094030,0.6791295559203836,0.4643162531942083,0.4784421169847853,0.3684776396589398,0.13577577092862353
GBM_grid_1_AutoML_20190426_094030_model_28,0.6790139079464047,0.4443376217051075,0.47370616024016904,0.37234326366244014,0.13863950599479746
GBM_grid_1_AutoML_20190426_094030_model_8,0.6778322912740391,0.4400679841644509,0.4784874752561917,0.3702663181781752,0.13709714637722165
GBM_grid_1_AutoML_20190426_094030_model_31,0.6771450671559157,0.4437746480989379,0.4787923407092393,0.3719346344384642,0.138335372294874
GBM_grid_1_AutoML_20190426_094030_model_6,0.6756543914317112,0.4651985200246429,0.4719066542556967,0.3811631040469255,0.1452853118866874
GBM_grid_1_AutoML_20190426_094030_model_30,0.6714202992726362,0.4653759201416842,0.4688025842147659,0.3812317360220519,0.14533763655038745
GBM_grid_1_AutoML_20190426_094030_model_42,0.6699850733091209,0.4657582337443953,0.4748078039834821,0.3813824730590525,0.14545259075663888
GBM_grid_1_AutoML_20190426_094030_model_10,0.6699308113465866,0.4663259185127385,0.4805310593763775,0.3816029891471233,0.1456208413260195
GBM_grid_1_AutoML_20190426_094030_model_20,0.6699123586899004,0.4662961163149662,0.4806594196676325,0.3815916110725616,0.14561215764095312
GBM_grid_1_AutoML_20190426_094030_model_5,0.6695920080205392,0.4428900105403128,0.4831196291281514,0.3699617038180987,0.1368716622919906
GBM_grid_1_AutoML_20190426_094030_model_40,0.6692616508024783,0.44048744429019937,0.4782380253135981,0.3703129965165343,0.13713171538905475
GBM_grid_1_AutoML_20190426_094030_model_27,0.6686405063480235,0.4427625369519051,0.4732404611629213,0.3699546052970885,0.13686640998052454
GBM_5_AutoML_20190426_094030,0.6673211352299075,0.4466329242300024,0.4813035227397093,0.3711338224004603,0.1377403141295764
GBM_1_AutoML_20190426_094030,0.6663646426131266,0.4443299854070623,0.4858716177118739,0.3711542006109144,0.13775544063112688
GBM_2_AutoML_20190426_094030,0.6639708128483363,0.4456004877697594,0.4898694832591399,0.3713821154126988,0.13792467564841113
GBM_grid_1_AutoML_20190426_094030_model_4,0.6639398889960291,0.4419171818108981,0.4804948294776419,0.3699575119451291,0.13686856064463038
GBM_grid_1_AutoML_20190426_094030_model_34,0.6633610792022221,0.4452129293877756,0.4831065427983074,0.37248728629461736,0.13874677845112826
GBM_grid_1_AutoML_20190426_094030_model_33,0.6618740668831687,0.4600670570119257,0.4842465166647752,0.3759317926326438,0.14132471271199315
GBM_grid_1_AutoML_20190426_094030_model_38,0.6612044720460787,0.4481063717257685,0.4781884665933537,0.3718136151125197,0.13824536438304094
GBM_grid_1_AutoML_20190426_094030_model_9,0.6593870285284567,0.441967922601963,0.4848805624978042,0.3708092366703477,0.1374994900000459
GBM_3_AutoML_20190426_094030,0.6577574790608174,0.45243181746465205,0.486574165385201,0.3736813374322257,0.13963774194513687
GBM_grid_1_AutoML_20190426_094030_model_26,0.6568168593730117,0.4434129424909951,0.4877739977026258,0.3715698969096608,0.13806418828945596
GBM_grid_1_AutoML_20190426_094030_model_21,0.6556540337496557,0.4523343674050404,0.4898982411265765,0.37357507655513694,0.13955833782317642
GBM_4_AutoML_20190426_094030,0.6482633001787221,0.4626564814392871,0.4909245973730048,0.3760624165666789,0.14142294115397033
GBM_grid_1_AutoML_20190426_094030_model_41,0.6469648395141664,0.4616521482497955,0.4907190918521108,0.3765667049783242,0.14180248329823225
GBM_grid_1_AutoML_20190426_094030_model_22,0.6447418184120595,0.4677083525358165,0.4879795032235198,0.3772911878525077,0.14234864043115625
GBM_grid_1_AutoML_20190426_094030_model_25,0.6383749312303229,0.4580454058130736,0.4911665752842993,0.3761313443041766,0.14147478816806705
GBM_grid_1_AutoML_20190426_094030_model_24,0.6306011019292533,0.5336619098045862,0.4986047194007289,0.3928016284538761,0.1542931193160169
GBM_grid_1_AutoML_20190426_094030_model_14,0.6253521314625515,0.5550378878390583,0.49615222446317403,0.3972158220021487,0.15778040924884265
GBM_grid_1_AutoML_20190426_094030_model_1,0.6243561209244611,0.5616247762259645,0.4949304199348994,0.396967792497632,0.15758342828044306
GBM_grid_1_AutoML_20190426_094030_model_39,0.6031082874778855,0.6707814438578502,0.4990145590844751,0.4169012891585088,0.17380668490202655
GBM_grid_1_AutoML_20190426_094030_model_16,0.6004555437455265,0.7990346470841834,0.5,0.4300491099635005,0.18494223698039894
GBM_grid_1_AutoML_20190426_094030_model_11,0.5987208172857967,0.7085355150147514,0.4957557136009366,0.4200546013802312,0.17644586814070495
GBM_grid_1_AutoML_20190426_094030_model_19,0.5895160953609624,1.3562413022133122,0.5,0.4557489138596719,0.2077070724842706
GBM_grid_1_AutoML_20190426_094030_model_32,0.5884688081108327,0.7897482382641605,0.5,0.4299408689419215,0.18484915078653447
